paper_id,title,decision,reason,abstract_available
P4732d69493e0,Improving the Transformation Efficiency of Synechococcus sp. PCC 7002 via Methylome-Guided Premethylation of DNA,yes,Abstract describes experimental DNA methylation to improve transformation efficiency,True
P003f0cd91324,Fine-tuning the expression of pathway gene in yeast using a regulatory library formed by fusing a synthetic minimal promoter with different kozak variants,yes,Genetically manipulated yeast promoters with Kozak variants,True
P009813d2aa98,Mining halophytes for plant growth-promoting halotolerant bacteria to enhance the salinity tolerance of non-halophytic crops.,no,"Only reviews existing studies, no genetic manipulation",True
P00aa6da5abca,DNA methylome regulates virulence and metabolism in Pseudomonas syringae,no,"Only sequencing and bioinformatics, no genetic manipulation",True
P00f7214a5049,"64.Luzics S, Baka E, Otto M, Kosztik J, Szalontai H, Bata-Vidács I, et al. High-quality de novo genome assembly and functional genomic insights into Thermobifida alba DSM43795T, a mesophilic actinobac",no,No genetic manipulation performed,True
P01057f40f3b2,Outer membrane vesicles displaying engineered glycotopes elicit protective antibodies,yes,Genetically engineered O-PS in E. coli via recombinant expression,True
P010da0446b22,CRISPR Interference-Based Gene Repression in the Plant Growth Promoter Paenibacillus Sonchi Genomovar Riograndensis SBR5,yes,CRISPRi applied to bacterial genes with wet-lab validation,True
P018376861d30,Molecular Toolkit for Gene Expression Control and Genome Modification in Rhodococcus Opacus PD630,yes,Developed CRISPRi for targeted gene repression,True
P01a6fb79b827,"Draft genome sequence of Pseudarthrobacter phenanthrenivorans strain MHSD1, a bacterial endophyte isolated from the medicinal plant Pellaea calomelanos",no,Only genome sequencing and bioinformatics,True
P01cb888f2da5,Novel prokaryotic CRISPR-Cas12a-based tool for programmable transcriptional activation and repression,yes,dCas12a linked to activator domain used in bacterial hosts,True
P01f13f2cd469,Distributing a metabolic pathway among a microbial consortium enhances production of natural products,yes,Engineered microbes with pathway modules,True
P021640769498,Predicting antibiotic resistance and assessing the risk burden from antibiotics: A holistic modeling framework in a tropical reservoir,no,No genetic manipulation performed,True
P0222bdb8ead4,Disease Modeling by Efficient Genome Editing Using a Near PAM-Less Base Editor In Vivo,no,"Manipulates animal model, not microbial",True
P024792a58597,A facile approach for development of a vaccine made of bacterial double-layered membrane vesicles (DMVs),no,No genetic manipulation performed,True
P024bf8a213ef,Biofilms exposed: innovative imaging and therapeutic platforms for persistent infections.,no,No genetic manipulation attempted,True
P02b447ab682b,,no,No genetic manipulation attempted,True
P02f71b35e807,,no,No genetic manipulation performed,True
